,v1,v2,v3,v4,v5 (+),v5 (-),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14 (+),b14 (-),
carbamoyl phosphate,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ornithine,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
phosphate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,
citrulline,-1,0,0,1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
aspartate,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATP,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
AMP,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,
Diphosphate,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,
argininosuccinate,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fumarrate,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,
arginine,0,1,-1,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
H2O,0,0,-1,0,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,
urea,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,
O2,0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
NADPH,0,0,0,0,-3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
H+,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
NO,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,
NADP,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,
